,Start,Finish,Distance,Total climb,Total descent
0,Danisch Border,Flensburg - Oeversee,22.6,0.311,0.303
1,Oeversee,Schleswig,30.0,0.34,0.366
2,Schleswig,Brekendorf,20.8,0.294,0.275
3,Brekendorf,Eckernförde,31.1,0.502,0.523
4,Eckernförde,Dänisch Nienhof,23.3,0.498,0.474
5,Dänisch Nienhof,Kiel,27.5,0.313,0.341
6,Kiel,Preetz,17.0,0.293,0.27
7,Preetz,Plön,24.8,0.383,0.379
8,Plön,Eutin,24.9,0.319,0.322
9,Eutin,Schönwalde,18.8,0.413,0.345
10,Schönwalde,Neustadt,20.4,0.267,0.358
11,Neustadt,Bad Schwartau,31.4,0.428,0.406
12,Bad Schwartau,Lübeck (Klein Grönau),31.4,0.339,0.353
13,Lübeck (Klein Grönau),Ratzeburg,29.2,0.331,0.339
14,Ratzeburg,Mölln,13.9,0.2,0.182
15,Mölln,Güster,18.9,0.233,0.233
16,Güster,Witzhave,34.2,0.398,0.395
