,Start,Finish,Distance,Total climb,Total descent
0,Pforzheim,Dobel,28.8,1.174,0.767
1,Dobel,Forbach,26.3,0.748,1.155
2,Forbach,Mummelsee,24.8,1.415,0.677
3,Mummelsee,Alexanderschanze (Kniebis),22.8,0.636,0.699
4,Alexanderschanze (Kniebis),Hark,16.5,0.338,0.576
5,Hark,Hausach,15.4,0.54,0.981
6,Hausach,Wilhelmshöhe (Schonach),21.2,1.388,0.652
7,Wilhelmshöhe (Schonach),Thurner,29.9,0.997,0.924
8,Thurner,Feldberg,29.7,1.24,0.802
9,Feldberg,Lenzkirch,26.0,0.555,1.229
10,Lenzkirch,Schattenmühle,18.4,0.678,0.799
11,Schattenmühle,Blumberg,21.5,0.956,0.954
12,Blumberg,Engen,26.8,0.755,0.912
13,Engen,Singen,26.1,1.053,1.159
14,Singen,Güttingen,17.2,0.521,0.484
15,Güttingen,Konstanz,29.0,0.608,0.68
