,Start,Finish,Distance,Total climb,Total descent
0,Passo dei Due Santi,Passo del Brattello,11.9,0.344,0.795
1,Passo del Brattello,Passo della Cisa,12.1,0.753,0.663
2,Passo della Cisa,Lago Santo Parmense,15.9,1.369,0.837
3,Lago Santo Parmense,Prato Spilla,12.8,0.905,1.128
4,Prato Spilla,Passo del Cerreto,16.2,1.241,1.342
5,Passo del Cerreto,Passo di Pradarena,11.1,1.021,0.71
6,Passo di Pradarena,Sella del Monte Prado,11.5,0.622,0.501
7,Sella del Monte Prado,San Pellegrino in Alpe,12.8,0.666,0.963
8,San Pellegrino in Alpe,Lago Santo Modenese,14.8,0.772,0.861
9,Lago Santo Modenese,Abetone,15.0,0.928,1.1
10,Abetone,Lago Scaffaiolo,16.3,1.412,0.962
11,Lago Scaffaiolo,Pracchia,15.4,0.648,1.747
12,Pracchia,Cascina di Spedaletto,18.6,0.923,0.699
13,Cascina di Spedaletto,Rifugio Pacini,7.4,0.505,0.37
14,Rifugio Pacini,Montepiano,16.8,0.734,1.043
15,Montepiano,Passo della Futa,13.5,0.645,0.443
16,Passo della Futa,Passo del Giogo,13.5,0.823,0.842
17,Passo del Giogo,Casaglia,27.6,1.721,1.753
18,Casaglia,Passo del Muraglione,25.2,1.436,1.376
19,Passo del Muraglione,Passo la Calla,15.4,1.278,0.886
20,Passo la Calla,Badia Prataglia,16.3,0.71,1.171
21,Badia Prataglia,Chiusi della Verna,24.5,1.23,1.156
22,Chiusi della Verna,Caprese Michelangelo,16.2,0.696,1.007
23,Caprese Michelangelo,Passo di Viamaggio,18.0,0.957,0.583
24,Passo di Viamaggio,Bocca di Trabaria,18.5,1.051,0.977
