,Start,Finish,Distance,Total climb,Total descent
0,Bocca di Trabaria,Bocca Serriola,24.4,0.928,1.238
1,Bocca Serriola,Acquapartita,15.3,0.782,0.65
2,Acquapartita,Tranquillo,25.3,0.963,1.382
3,Tranquillo,Scheggia,11.1,0.611,0.469
4,Scheggia,Val di Ranco,14.4,0.873,0.386
5,Val di Ranco,Valsorda,20.0,1.095,1.178
6,Valsorda,Conca di Monte Alago,20.0,0.869,0.917
7,Conca di Monte Alago,Colfiorito,22.1,0.73,0.918
8,Colfiorito,Saccovescio,32.3,1.533,1.573
9,Saccovescio,Castelluccio,25.9,1.596,0.9
10,Castelluccio,Forca Canapine,11.3,0.393,0.277
