,Start,Finish,Distance,Total climb,Total descent
0,Castellafiume,Filettino,16.6,1.262,1.075
1,Filettino,Altipiani di Arcinazzo,14.9,0.587,0.742
2,Altipiani di Arcinazzo,Piglio,12.7,0.48,0.649
3,Piglio,Fiuggi,12.6,0.567,0.555
4,Fiuggi,Collepardo,17.6,0.735,0.855
5,Collepardo,Rifugio Fontana di Campoli,16.2,1.374,0.925
6,Rifugio Fontana di Campoli,Sora,17.9,0.728,1.479
7,Sora,Posta Fibreno,16.9,0.692,0.675
8,Posta Fibreno,San Donato Val di Comino,20.5,0.98,0.641
9,San Donato Val di Comino,Villa Latina,20.3,0.654,0.871
10,Villa Latina,Lago La Selva,14.5,0.887,0.381
11,Lago La Selva,Scapoli,15.3,0.537,0.862
12,Scapoli,Montaquila,16.3,0.998,1.168
13,Montaquila,Gallo Matese,23.5,1.085,0.658
