,Start,Finish,Distance,Total climb,Total descent
0,Gallo Matese,Campitello Matese,27.5,1.764,1.191
1,Campitello Matese,Bocca della Selva,21.1,1.194,1.223
2,Bocca della Selva,Cusano Mutri,7.0,0.049,1.041
3,Cusano Mutri,San Lorenzello,10.3,0.464,0.65
4,San Lorenzello,Solopaca,13.8,0.295,0.354
5,Solopaca,Piana di Prata,12.3,1.398,0.733
6,Piana di Prata,Montesarchio,18.1,1.066,0.993
7,Montesarchio,Rifugio Toppo del Monaco,20.2,1.889,1.032
8,Rifugio Toppo del Monaco,Avellino,21.2,0.86,1.646
9,Avellino,Sala,22.9,1.067,1.001
10,Sala,Casone Masucci,10.2,0.429,0.143
11,Casone Masucci,Bagnoli Irpino,17.4,1.021,1.059
12,Bagnoli Irpino,Lago Laceno,14.8,1.087,0.689
13,Lago Laceno,Caposele,17.2,0.825,1.452
14,Caposele,Calabritto,15.4,1.221,1.182
15,Calabritto,Senerchia,20.2,1.607,1.472
16,Senerchia,Bagni Forlenza,16.2,0.629,1.11
17,Bagni Forlenza,Postiglione,13.4,0.761,0.225
18,Postiglione,Petina,23.3,1.356,1.356
19,Petina,Casone Aresta,7.0,0.797,0.295
20,Casone Aresta,San Rufo,16.3,0.692,1.203
21,San Rufo,Monte Motola,13.5,1.342,0.653
22,Monte Motola,Masseria Rezzo,14.4,0.777,1.103
23,Masseria Rezzo,Rifugio Cervati,9.3,0.715,0.126
24,Rifugio Cervati,Sanza,19.0,0.696,1.747
25,Sanza,Fortino,21.3,1.06,0.832
