,Start,Finish,Distance,Total climb,Total descent
0,Messina,Case Maressa,29.4,1.677,0.72
1,Case Maressa,Casa Alpini,15.9,1.332,1.473
2,Casa Alpini,Posto Leoni,15.6,1.513,1.343
3,Posto Leoni,Fondachelli,22.5,1.695,2.115
4,Fondachelli,Malabotta,19.5,1.396,0.783
5,Malabotta,Malvagna,11.9,0.534,1.055
6,Malvagna,Castiglione di Sicilia,14.2,0.336,0.485
7,Castiglione di Sicilia,Piano Pernicana,18.3,1.007,0.128
8,Piano Pernicana,Monte la Nave,16.5,0.664,0.589
9,Monte la Nave,Serra La Nave,16.9,0.613,0.415
10,Serra La Nave,Nicolosi,14.8,0.082,1.064
11,Nicolosi,Catania,16.5,0.121,0.803
12,Catania,Carlentini,43.0,0.47,0.278
13,Carlentini,Pedagaggi,18.5,0.594,0.469
14,Pedagaggi,Ferla,12.9,0.587,0.387
15,Ferla,Palazzolo Acreide,15.4,0.648,0.51
16,Palazzolo Acreide,Area Canicattini,12.4,0.149,0.386
17,Area Canicattini,Noto,21.9,0.468,0.795
18,Noto,Marzamemi,26.6,0.351,0.457
19,Marzamemi,Isola delle Correnti,16.6,0.17,0.175
