,Start,Finish,Distance,Total climb,Total descent
0,North Cape,Skarsvåg Crossing,12.5,0.211,0.469
1,Skarsvåg Crossing,Vester Pollen (North Cape Tunnel),19.9,0.467,0.486
2,Vester Pollen (North Cape Tunnel),Vardancohka,25.5,0.644,0.426
3,Vardancohka,Stohpojohka,23.1,0.25,0.212
4,Stohpojohka,Hattir Øst,20.9,0.304,0.433
5,Hattir Øst,Duolbajarcopma,31.8,0.351,0.207
6,Duolbajarcopma,Bastingammen,21.4,0.203,0.267
7,Bastingammen,Ruhkkojávri,22.9,0.488,0.402
8,Ruhkkojávri,Bojobeaskihytta,19.0,0.328,0.312
9,Bojobeaskihytta,Mollesjohka Fjellstue,35.2,0.444,0.444
10,Mollesjohka Fjellstue,Ragesluoppal,18.7,0.186,0.206
11,Ragesluoppal,Masi,30.2,0.472,0.535
12,Masi,Biggejavri,16.2,0.214,0.117
13,Biggejavri,Mierojavri,24.8,0.171,0.243
14,Mierojavri,Kautokeino,18.9,0.29,0.295
