,Start,Finish,Distance,Total climb,Total descent
0,Kautokeino,Cunovuohppi,19.4,0.319,0.281
1,Cunovuohppi,Reisavannhytta,28.1,0.448,0.374
2,Reisavannhytta,Nedrefosshytta,28.1,0.322,0.603
3,Nedrefosshytta,Saraelv,25.5,0.458,0.532
4,Saraelv,Somashytta,28.7,0.943,0.289
5,Somashytta,Kopmajoki,3.2,0.044,0.028
6,Kopmajoki,Pihtsusjärvi,10.8,0.226,0.253
7,Pihtsusjärvi,Meekonjärvi,10.4,0.118,0.251
8,Meekonjärvi,Kuinarjoki,9.4,0.366,0.103
9,Kuinarjoki,Saarijärvi,8.7,0.155,0.338
10,Saarijärvi,Kilpisjärvi,18.5,0.446,0.609
