,Start,Finish,Distance,Total climb,Total descent
0,Kilpisjärvi,Goldahytta,15.3,0.463,0.456
1,Goldahytta,Gappohytta,12.0,0.367,0.233
2,Gappohytta,Rostahytta,18.9,0.358,0.575
3,Rostahytta,Dærtahytta,16.3,0.651,0.38
4,Dærtahytta,Dividalshytta,23.8,0.648,0.792
5,Dividalshytta,Vuomahytta,18.3,0.659,0.536
6,Vuomahytta,Gaskashytta,16.9,0.349,0.529
7,Gaskashytta,Altevasshytta,12.2,0.224,0.225
8,Altevasshytta,Lappjordhytta,24.4,0.794,0.792
9,Lappjordhytta,Pålnostugan,2.7,0.076,0.242
10,Pålnostugan,Abisko Turiststation,21.7,0.766,0.737
