,Start,Finish,Distance,Total climb,Total descent
0,Abisko Turiststation,Abiskojaurestugan,13.7,0.431,0.327
1,Abiskojaurestugan,Unna Allakas,22.9,0.417,0.192
2,Unna Allakas,Cunojavri,5.1,0.074,0.075
3,Cunojavri,Caihnavaggi-hytta,13.2,0.479,0.183
4,Caihnavaggi-hytta,Gautelis-hytta,11.7,0.269,0.415
5,Gautelis-hytta,Skoaddejavrehytta,16.8,0.645,0.515
6,Skoaddejavrehytta,Sitashytta,19.5,0.254,0.622
7,Sitashytta,Paurohytta,21.2,0.623,0.544
8,Paurohytta,Røysvatn,27.1,0.571,0.467
9,Røysvatn,Vaisaluokta,51.2,0.267,0.556
10,Vaisaluokta,Kutjaurestugan,17.0,0.444,0.36
11,Kutjaurestugan,Låddejåkkåstugan,17.2,0.454,0.415
12,Låddejåkkåstugan,Arasluoktastugorna,13.1,0.528,0.532
13,Arasluoktastugorna,Staloluoktastugorna,10.3,0.47,0.472
14,Staloluoktastugorna,Staddajåhkå,11.9,0.398,0.248
15,Staddajåhkå,Sårjesjaurestugan,5.6,0.177,0.068
16,Sårjesjaurestugan,Sorjushytta,12.1,0.296,0.295
17,Sorjushytta,Ny-Sulitjelma fjellstue,10.7,0.391,0.634
