,Start,Finish,Distance,Total climb,Total descent
0,Bustadmo,Kleiva,29.0,0.971,0.911
1,Kleiva,Øvre Mykkelvikseter,13.2,0.21,0.342
2,Øvre Mykkelvikseter,Skorovatn,18.5,0.64,0.605
3,Skorovatn,Midtre Nesåvatnet,12.2,0.478,0.429
4,Midtre Nesåvatnet,Kviltjønnhytta,11.4,0.452,0.389
5,Kviltjønnhytta,Skjelbredtunet,11.4,0.088,0.305
6,Skjelbredtunet,Almdalshytta,16.7,0.392,0.148
7,Almdalshytta,Gressåmoen,14.2,0.318,0.59
8,Gressåmoen,Langvasshytta,28.1,0.53,0.253
9,Langvasshytta,Holden,8.9,0.106,0.15
10,Holden,Gaundalen,12.0,0.269,0.205
11,Gaundalen,Sætertjønnhytta,26.7,0.433,0.479
12,Sætertjønnhytta,Skjækerdalshytta,13.4,0.307,0.362
13,Skjækerdalshytta,Bringsåsen,11.1,0.331,0.308
14,Bringsåsen,Bellingstua,23.2,0.676,0.587
15,Bellingstua,Ferslia,28.1,0.71,0.748
16,Ferslia,Angeltjønnhytta,13.1,0.501,0.437
17,Angeltjønnhytta,Teveltunet,20.8,0.443,0.53
