,Start,Finish,Distance,Total climb,Total descent
0,Kloten,Gillersklack,19.9,0.717,0.618
1,Gillersklack,Stjärnfors,17.3,0.602,0.79
2,Stjärnfors,Nyberget,21.6,1.009,0.987
3,Nyberget,Uskavi,22.8,0.7,0.788
4,Uskavi,Hammarby,17.8,0.611,0.642
5,Hammarby,Digerberget,12.8,0.498,0.473
6,Digerberget,Mogetorp,16.7,0.476,0.519
7,Mogetorp,Blankhult,14.0,0.514,0.322
8,Blankhult,Ånnaboda,10.1,0.332,0.34
9,Ånnaboda,Suttarboda,6.4,0.262,0.274
10,Suttarboda,Leken,16.0,0.477,0.543
11,Leken,Sixtorp,18.9,0.653,0.68
12,Sixtorp,Svartå herrgård,19.7,0.637,0.691
13,Svartå herrgård,Ramundeboda,20.8,0.635,0.588
14,Ramundeboda,Gråmon,21.5,0.454,0.428
15,Gråmon,Tivedstorp,13.1,0.308,0.256
16,Tivedstorp,Stenkällegården,12.2,0.235,0.321
